src/public/js/bundle.js: line 339, col 143, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 347, col 145, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 352, col 144, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 420, col 68, Missing semicolon.
src/public/js/bundle.js: line 470, col 112, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 537, col 68, Missing semicolon.
src/public/js/bundle.js: line 608, col 68, Missing semicolon.
src/public/js/bundle.js: line 647, col 36, Bad invocation.
src/public/js/bundle.js: line 678, col 85, Bad invocation.
src/public/js/bundle.js: line 706, col 158, Bad invocation.
src/public/js/bundle.js: line 709, col 45, Bad invocation.
src/public/js/bundle.js: line 717, col 75, Bad invocation.
src/public/js/bundle.js: line 717, col 118, The '__proto__' property is deprecated.
src/public/js/bundle.js: line 717, col 121, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 826, col 5, Misleading line break before '?'; readers may interpret this as an expression boundary.
src/public/js/bundle.js: line 879, col 21, Do not use String as a constructor.
src/public/js/bundle.js: line 1011, col 49, Expected a conditional expression and instead saw an assignment.
src/public/js/bundle.js: line 1073, col 156, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1132, col 3, Confusing use of '!'.
src/public/js/bundle.js: line 1132, col 166, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1142, col 172, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1165, col 68, Missing semicolon.
src/public/js/bundle.js: line 1303, col 137, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 1325, col 38, eval can be harmful.
src/public/js/bundle.js: line 1542, col 160, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1549, col 128, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1555, col 204, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1556, col 305, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1557, col 220, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1564, col 7, Confusing use of '!'.
src/public/js/bundle.js: line 1564, col 309, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1589, col 128, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 1757, col 68, Missing semicolon.
src/public/js/bundle.js: line 1867, col 68, Missing semicolon.
src/public/js/bundle.js: line 1897, col 7, Misleading line break before '?'; readers may interpret this as an expression boundary.
src/public/js/bundle.js: line 2098, col 236, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2179, col 3, Confusing use of '!'.
src/public/js/bundle.js: line 2179, col 299, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2281, col 232, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2288, col 177, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2293, col 164, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2294, col 5, Confusing use of '!'.
src/public/js/bundle.js: line 2294, col 211, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2295, col 5, Confusing use of '!'.
src/public/js/bundle.js: line 2295, col 224, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2317, col 68, Missing semicolon.
src/public/js/bundle.js: line 2556, col 372, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2625, col 396, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2548, col 5, Reassignment of 'SyntheticEvent', which is is a function. Use 'var' or 'let' to declare bindings that may change.
src/public/js/bundle.js: line 2628, col 68, Missing semicolon.
src/public/js/bundle.js: line 2657, col 5, Misleading line break before '?'; readers may interpret this as an expression boundary.
src/public/js/bundle.js: line 2836, col 109, ['x'] is better written in dot notation.
src/public/js/bundle.js: line 2836, col 197, ['x'] is better written in dot notation.
src/public/js/bundle.js: line 2836, col 279, ['x'] is better written in dot notation.
src/public/js/bundle.js: line 2836, col 363, ['x'] is better written in dot notation.
src/public/js/bundle.js: line 2836, col 451, ['D'] is better written in dot notation.
src/public/js/bundle.js: line 2837, col 55, ['p'] is better written in dot notation.
src/public/js/bundle.js: line 2838, col 62, ['o'] is better written in dot notation.
src/public/js/bundle.js: line 2854, col 48, ['i'] is better written in dot notation.
src/public/js/bundle.js: line 2871, col 51, ['createElement'] is better written in dot notation.
src/public/js/bundle.js: line 2879, col 66, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 2879, col 144, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 2883, col 49, ['createElement'] is better written in dot notation.
src/public/js/bundle.js: line 2894, col 46, ['i'] is better written in dot notation.
src/public/js/bundle.js: line 2897, col 47, ['createElement'] is better written in dot notation.
src/public/js/bundle.js: line 2905, col 43, ['b'] is better written in dot notation.
src/public/js/bundle.js: line 2910, col 41, ['m'] is better written in dot notation.
src/public/js/bundle.js: line 2923, col 46, ['m'] is better written in dot notation.
src/public/js/bundle.js: line 2944, col 43, ['m'] is better written in dot notation.
src/public/js/bundle.js: line 2944, col 112, ['m'] is better written in dot notation.
src/public/js/bundle.js: line 2951, col 101, ['c'] is better written in dot notation.
src/public/js/bundle.js: line 2952, col 10, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 2954, col 49, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 2955, col 80, Missing semicolon.
src/public/js/bundle.js: line 3034, col 421, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 3051, col 7, Confusing use of '!'.
src/public/js/bundle.js: line 3051, col 334, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 3170, col 68, Missing semicolon.
src/public/js/bundle.js: line 3205, col 40, Functions declared within loops referencing an outer scoped variable may lead to confusing semantics.
src/public/js/bundle.js: line 3245, col 3, Misleading line break before '?'; readers may interpret this as an expression boundary.
src/public/js/bundle.js: line 3247, col 5, eval can be harmful.
src/public/js/bundle.js: line 3498, col 5, Misleading line break before '?'; readers may interpret this as an expression boundary.
src/public/js/bundle.js: line 3569, col 329, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 3583, col 329, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 3850, col 68, Missing semicolon.
src/public/js/bundle.js: line 3927, col 187, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 3968, col 68, Missing semicolon.
src/public/js/bundle.js: line 4056, col 23, Invalid typeof value 'symbol'
src/public/js/bundle.js: line 4129, col 31, Bad invocation.
src/public/js/bundle.js: line 4234, col 7, 'canDefineProperty' used out of scope.
src/public/js/bundle.js: line 4269, col 68, Missing semicolon.
src/public/js/bundle.js: line 4342, col 23, If a strict mode function is executed using function invocation, its 'this' value will be undefined.
src/public/js/bundle.js: line 4342, col 29, If a strict mode function is executed using function invocation, its 'this' value will be undefined.
src/public/js/bundle.js: line 4467, col 311, Expected an assignment or function call and instead saw an expression.
src/public/js/bundle.js: line 4485, col 68, Missing semicolon.
src/public/js/bundle.js: line 4589, col 10, If a strict mode function is executed using function invocation, its 'this' value will be undefined.
src/public/js/bundle.js: line 4654, col 83, Invalid typeof value 'symbol'
src/public/js/bundle.js: line 4702, col 25, Expected an assignment or function call and instead saw an expression.
